time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
11	50	100	128	0	0.77007287192416	0.7577368209312281	0.7556063914733309	0.8267675492143919	0.7205867598651705
6	150	100	3	24	128	0	0.713495687017397	0.7202380762976666	0.7142657626383361	0.7557800738564608	0.6802256725288434
8	150	100	4	24	128	0	0.8999739395103179	0.7831310671936058	0.781145347735209	0.8668717645928871	0.7177766718275858
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	train	val	test_all	test_low	test_high
15	50	100	4	50	128	0.7887879074220688	0.767643018988178	0.7656678087574221	0.8298100362777515	0.7112125005684186
30	50	100	4	50	128	0.8067430564042853	0.7647479188065058	0.7671192736520094	0.8494911147196148	0.7036473236637855
47	50	100	4	50	128	0.7929310837497466	0.7754713825897135	0.7795824797779669	0.8495567465884246	0.718434908103487
70	50	100	4	50	128	0.7838922481227453	0.7484760706521915	0.7500256635584915	0.8238822776988616	0.7060651942916772
97	50	100	4	50	128	0.8917104434707155	0.8358621927982857	0.8342293900772269	0.9037496889938158	0.7250248200799109
126	50	100	4	50	128	0.8771519936421224	0.8067818834082423	0.7996188341162291	0.8712595807204068	0.713828915126608
141	50	100	4	50	128	0.7919776852539392	0.7754322220211635	0.7813412997691388	0.85679769379895	0.6994119561962885
157	50	100	4	50	128	0.8496902587941768	0.8030381787258822	0.8096226629511446	0.889177474914443	0.7172507634987665
164	50	100	4	50	128	0.7791987773302267	0.7566495078052461	0.7433588349503204	0.824575654342965	0.7047394589987145
time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	train	val	test_all	test_low	test_high
10	150	100	3	24	128	0.713495687017397	0.7202380762976666	0.7142657626383361	0.7557800738564608	0.6802256725288434
18	50	50	3	50	128	0.7984597568852665	0.7677046904885022	0.7639730946702256	0.8354540028331583	0.7120867146741283
24	50	50	3	50	128	0.671031287441711	0.6865152914856812	0.6754528629387331	0.7267623551369856	0.699255819079821
26	150	100	3	24	128	0.8468966689822692	0.7957096945829175	0.7878421958895673	0.8624004676803969	0.7030360481666236
33	150	100	3	24	128	0.6644792982912912	0.7045476249438032	0.6839808880050585	0.7408202429401648	0.7054956780620432
34	50	50	3	50	128	0.7764002572220045	0.7607133404179911	0.7669949268929985	0.851069808766055	0.716192866258844
44	150	100	3	24	128	0.8640020279542812	0.7836354281542488	0.780106175936443	0.8570015801561974	0.7116238835060297
53	50	50	3	50	128	0.847254517285177	0.8021211721061052	0.803062758416066	0.8783511099186614	0.7142426010620999
55	150	100	3	24	128	0.8261793688046215	0.7795523840626304	0.7793855581538198	0.8603780546449331	0.7064649237595692
80	150	100	3	24	128	0.8363544114663538	0.7802332811947851	0.7767710378376433	0.8462451561727284	0.7108013616463145
83	50	50	3	50	128	0.8569348541901528	0.8146279019067908	0.8045234252457375	0.8805596470135292	0.7198999039798036
100	150	100	3	24	128	0.9125926198570199	0.791758824403775	0.7945303187983103	0.8742948215846261	0.7048506543923954
108	50	50	3	50	128	0.8766199741738141	0.8151566758298795	0.8153485529742618	0.8918771268303453	0.7197324746807757
118	150	100	3	24	128	0.8585696559547505	0.7800401098430815	0.7770538646517468	0.8613409061811386	0.701353918925289
131	150	100	3	24	128	0.7565134631051708	0.7197327632302807	0.714941518221267	0.7620509625629583	0.680312564090158
131	50	50	3	50	128	0.8027105466820018	0.7768037852474965	0.7757609555195839	0.848302918098817	0.7172985333877199
17	150	100	4	24	128	0.8110066767444984	0.7307941474999704	0.7183145342439137	0.7867909431847948	0.7162377573287214
34	150	100	4	24	128	0.9048676954687983	0.7930193142910685	0.7959543195201187	0.8770793797778813	0.7247821563762813
167	50	50	3	50	128	0.8660970190081796	0.8104675541827934	0.8165892020473582	0.8979172099687306	0.7361868389269529
52	150	100	4	24	128	0.8668743036871228	0.7871139985728444	0.7923585320491531	0.8729465244697525	0.7158238335095327
193	50	50	3	50	128	0.8882148798649434	0.819292609028321	0.8185314811854474	0.9008879494159459	0.7252175864439997
69	150	100	4	24	128	0.891115549825188	0.7829586106273067	0.7769012241845665	0.8572148388711776	0.7070827532851086
87	150	100	4	24	128	0.9249454932262927	0.8321366740210272	0.8361183315111638	0.9153066581273217	0.7344708059342948
35	50	50	3	100	128	0.905510986701088	0.8217778633258634	0.8186295288015976	0.9027326007546579	0.7464354895403613
99	150	100	4	24	128	0.8976842069299407	0.831383460812735	0.8332414848602918	0.9171088978305024	0.7592757046982238
116	150	100	4	24	128	0.9534621804891876	0.8199606751919872	0.815995255359071	0.8929112753204663	0.7377335018205088
55	50	50	3	100	128	0.8172401657828493	0.7845784389406668	0.7825091262514483	0.8592843985252937	0.7221710489205937
135	150	100	4	24	128	0.8481808982430792	0.7665172042347632	0.7642386625409343	0.8396107252504956	0.7165817929962949
85	50	50	3	100	128	0.8811581998991117	0.8251287251483942	0.8223884317069522	0.9077542596793421	0.7392940607546739
109	50	50	3	100	128	0.8707456714613405	0.8264813778844893	0.826533917977157	0.9097290422327978	0.7336025395810158
125	50	50	3	100	128	0.8002230938053327	0.7628968467547652	0.7766007639690977	0.8623565182648718	0.7005268873640699
142	50	50	3	100	128	0.7342685406379891	0.7418072497790952	0.7213153133047276	0.7848662784601169	0.7108368726211957
161	50	50	3	100	128	0.828830705507683	0.7895786461292277	0.8000500477819219	0.8725032310351591	0.7158445523780369
190	50	50	3	100	128	0.8764474269957906	0.8007740411483014	0.8004468580489181	0.887465302336998	0.7219405287015678
