name	time (min)	auc	test_auc	test_low_auc	test_high_auc	val_auc
SingleHead	18	0.8414919528299177	0.8065709315093692	0.8578069955525987	0.7227352450170089	0.8221496305471689
SingleHead	16	0.8598437052226345	0.8171249994293214	0.8682485966913055	0.7242468591553205	0.8237082111108313
SingleHead	23	0.9130184172734765	0.8665283356563862	0.9145830646221628	0.7857417265951677	0.8591736627691055
SingleHead	16	0.9234544461780825	0.8560400234438154	0.9121066803220098	0.7633914059444079	0.8577489678315121
SingleHead	22	0.9393522774862187	0.8639129569619496	0.9260134145147013	0.7565393267820409	0.8620255013192586
SingleHead	11	0.8289506852213029	0.8061010390575659	0.860313955055364	0.7016912696758308	0.8075764311344801
SingleHead	13	0.8003675040863302	0.7983068643449933	0.8492291454305158	0.7073562953811183	0.7864016074730905
SingleHead	19	0.9069413953790545	0.8568389549384468	0.9124623623548627	0.7579140821090989	0.8617999164413441
SingleHead	14	0.849887820030317	0.8115098436751652	0.8645270197123504	0.7132277254091254	0.8156679501200939
MultiHeads	13	0.8410987135388781	0.8180043657651811	0.8700636611432888	0.7248409877300049	0.8302214027791279
MultiHeads	13	0.9075453865438801	0.8738253166392231	0.930711417446351	0.7711748448156669	0.8678038891864072
MultiHeads	17	0.9264841117327478	0.87811216399682	0.9253862552606703	0.7965805701737553	0.8748622313061266
MultiHeads	15	0.9165872512911841	0.8703759052177661	0.9249443476821881	0.771869141568246	0.862162938626446
MultiHeads	18	0.9025093236643066	0.8739522539061387	0.9334188536607319	0.7674166708685278	0.8620545774918329
MultiHeads	14	0.9029257628173388	0.8637396221695657	0.923399478639576	0.7606230009012392	0.879527969106422
MultiHeads	21	0.9223407312150154	0.8697195729558497	0.9265421236924297	0.7686447301972078	0.8686866543111994
MultiHeads	21	0.9407769899687722	0.8718389098723339	0.9253962373667007	0.7780736602482236	0.8759293555696703
MultiHeads	20	0.9130169311647706	0.8635166841233735	0.9151736585872232	0.7685436067930955	0.860661343868204
MultiHeadsNoQuery	9	0.8264952469173007	0.8020073263719165	0.8542371955816424	0.7116833171960094	0.8213650584613003
MultiHeadsNoQuery	14	0.9176002479130727	0.8679400004326889	0.919015416102227	0.7791891054697453	0.8644472438164521
MultiHeadsNoQuery	28	0.9490655183059241	0.8732386956396001	0.9142545022574445	0.7993070365089125	0.8733907325644279
MultiHeadsNoQuery	15	0.9289530396833567	0.8662288521053814	0.9186310340150027	0.763748730583596	0.8685427531151453
MultiHeadsNoQuery	12	0.9097475827420899	0.8765747582375396	0.9315752505606204	0.7703156124932494	0.8644948658206675
MultiHeadsNoQuery	12	0.895887150902236	0.847278430959011	0.9080577229577085	0.7362515528294182	0.8616540537210371
MultiHeadsNoQuery	15	0.9000433660173396	0.8420822172428589	0.8939762885553014	0.7523790382536056	0.8431002853298385
MultiHeadsNoQuery	20	0.911752346819555	0.8308585871497947	0.8792216076063696	0.7484167444141316	0.8266339776455754
MultiHeadsNoQuery	10	0.8796237173345837	0.8473146661946526	0.9007095884629087	0.7591379518341266	0.845959517367932
MultiHeadsConv	21	0.9553371837649459	0.7772111057572691	0.8156281183813311	0.6993411587243852	0.8019192944532194
