name	test_all (mean)	test_all (std)	test_low (mean)	test_low (std)	test_high (mean)	test_high (std)
SingleHead	0.831	0.027	0.885	0.029	0.737	0.028
MultiHeads	0.865	0.017	0.919	0.018	0.768	0.018
MultiHeadsNoQuery	0.850	0.023	0.902	0.022	0.758	0.024
MultiHeadsConv	0.821	0.019	0.855	0.017	0.762	0.025
GTEx_Junc_Heart_Attn	0.807	0.013	0.817	0.014	0.760	0.014
GTEx_Exon_Cerebellum_Attn	0.649	0.015	0.676	0.018	0.581	0.014
GTEx_Exon_Heart_Attn	0.612	0.018	0.672	0.016	0.559	0.017
GTEx_Exon_Brain_Attn	0.644	0.024	0.676	0.023	0.577	0.025
GTEx_Exon_Brain_DSC	0.661	0.012	0.695	0.011	0.583	0.017
GTEx_Exon_Heart_DSC	0.656	0.009	0.714	0.009	0.587	0.014
GTEx_Exon_Cerebellum_DSC	0.649	0.011	0.675	0.011	0.583	0.013
GTEx_Exon_Brain_D2V_MLP	0.617	0.008	0.646	0.007	0.556	0.013
GTEx_Exon_Cerebellum_D2V_MLP	0.609	0.008	0.635	0.010	0.559	0.020
GTEx_Exon_Brain_NoLens_DSC	0.654	0.022	0.678	0.022	0.596	0.028
GTEx_Exon_Brain_NoLens_Attn	0.605	0.028	0.631	0.030	0.546	0.025
GTEx_Exon_Brain_NoLens_D2V_MLP	0.585	0.008	0.614	0.007	0.522	0.017
GTEx_Exon_Heart_D2V_MLP	0.604	0.008	0.663	0.015	0.552	0.014
HIPSCI_SUPPA_D2V_MLP	0.603	0.012	0.604	0.012	0.677	0.048
HIPSCI_SUPPA_Attn	0.640	0.023	0.640	0.023	0.716	0.036
HIPSCI_SUPPA_DSC	0.616	0.011	0.616	0.011	0.689	0.038
HEXEvent_DSC	0.856	0.015	0.878	0.015	0.832	0.018
HEXEvent_NoLens_Attn	0.688	0.022	0.749	0.029	0.617	0.014
HEXEvent_NoLens_DSC	0.631	0.006	0.677	0.007	0.581	0.013
HEXEvent_Attn	0.900	0.006	0.921	0.006	0.881	0.010
