name	test_all (mean)	test_all (std)	test_low (mean)	test_low (std)	test_high (mean)	test_high (std)
ReconJunc_D2V_MLP	0.679	0.008	0.690	0.006	0.622	0.016
GTEx_Exon_D2V_MLP	0.613	0.008	0.651	0.008	0.560	0.008
GTEx_Junc_Cerebellum_D2V_MLP	0.665	0.004	0.678	0.003	0.598	0.008
HEXEvent_D2V_MLP	0.899	0.000	0.908	0.000	0.890	0.000
HIPSCI_MAJIQ_D2V_MLP	0.720	0.000	0.726	0.000	0.679	0.000
HIPSCI_SUPPA_D2V_MLP	0.618	0.000	0.599	0.000	0.600	0.000
iPSC_D2V_MLP	0.713	0.000	0.740	0.000	0.660	0.000
GTEx_Exon_BiLSTM	0.590	0.000	0.612	0.000	0.565	0.000
GTEx_Junc_Cerebellum_BiLSTM	0.596	0.000	0.607	0.000	0.531	0.000
HEXEvent_BiLSTM	0.862	0.000	0.864	0.000	0.846	0.000
HIPSCI_MAJIQ_BiLSTM	0.653	0.000	0.645	0.000	0.657	0.000
HIPSCI_SUPPA_BiLSTM	0.555	0.000	0.561	0.000	0.535	0.000
iPSC_BiLSTM	0.632	0.000	0.643	0.000	0.645	0.000
